,0
Total_Spend,0.1608528478053933
Customer_Tenure_Days,0.15263361708452486
Recency,0.1518831333038495
Income,0.10458427683363797
NumCatalogPurchases,0.08644598115256179
NumStorePurchases,0.06208436300645948
NumWebVisitsMonth,0.060826034152566585
Total_Purchases,0.04672630191774778
NumWebPurchases,0.040213539071172394
Age,0.03567246919996875
Teenhome,0.028823477030483564
NumDealsPurchases,0.0266386421216247
Marital_enc,0.018093149936703235
Education_enc,0.017137679436019803
Kidhome,0.007384487947286143
